"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Europe","Montana","Motorized vehicles","0.2258","0.4467","2.1725","0.1797","0.3417","1.7735","1.7911","0.1116","0.2163","1.1791","1.206","0.113","0.2188","1.1922","1.2381"
"Europe","Montana","Transport equip.","0.0086","0.0187","0.6006","0.024","0.054","6.3578","6.4759","0.0035","0.0052","2.8432","2.9487","0.0038","0.0053","2.9925","3.1374"
"Europe","Montana","Precision instruments","0.202","0.2094","20.089","0.0883","0.1053","12.9706","13.1083","0.2706","0.2809","21.5896","21.9862","0.2826","0.2938","22.4682","23.1163"
"Europe","Montana","Furniture","0.0203","0.0515","0.0837","0.0577","0.1402","0.5468","0.5504","0.01","0.0252","0.0511","0.0521","0.0101","0.0258","0.0517","0.0536"
"Europe","Montana","Misc. mfg. prods.","0.1487","0.2502","9.3357","0.1398","0.1963","10.7806","10.8917","0.2537","0.442","9.9298","10.0912","0.2564","0.4484","9.9054","10.1411"
"Europe","Montana","Waste/scrap","0.1834","0.5094","0.4046","0.086","0.2379","0.1986","0.1882","0.0002","0.0004","0.0246","0.0236","0.0002","0.0004","0.0234","0.0166"
"Europe","Nebraska","Live animals/fish","2.9781","4.3825","23.1069","0.0049","0.006","0.0615","0.0653","0.0053","0.0065","0.0667","0.0824","0.0053","0.0063","0.0655","0.0721"
"Europe","Nebraska","Cereal grains","5.4654","8.0643","7.438","5.5365","6.3647","2.5811","2.3389","2.0564","2.3226","0.7594","0.5196","1.9501","2.2001","0.7204","0.4368"
"Europe","Nebraska","Other ag prods.","15.9729","20.2313","17.052","22.0382","29.6023","25.0681","25.7888","24.8564","27.8964","20.5119","20.5814","22.7769","25.5314","18.7841","18.3873"
"Europe","Nebraska","Animal feed","11.7144","13.8809","27.0398","55.1703","63.1732","93.9916","97.5975","40.0682","39.0385","54.0107","55.4922","38.4675","37.4797","51.7982","50.4797"
"Europe","Nebraska","Meat/seafood","40.0626","55.9279","196.7533","10.0127","15.4813","61.6189","62.9187","7.8984","12.1231","59.9246","68.5374","7.5887","11.6686","57.783","63.4266"
"Europe","Nebraska","Milled grain prods.","0.4411","0.5643","0.7486","0.0771","0.1007","0.1371","0.1394","0.4632","0.6271","0.8002","0.8138","0.4482","0.607","0.7745","0.7817"
"Europe","Nebraska","Other foodstuffs","6.1037","7.6034","13.8114","5.2683","6.05","12.394","12.6018","3.1022","4.143","6.3269","6.7759","3.0226","4.0421","6.1749","6.2116"
"Europe","Nebraska","Alcoholic beverages","0.0189","0.0323","0.0139","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","Nebraska","Nonmetallic minerals","0.0078","0.0114","0.0137","0","0","0","0","6.494","10.1143","9.9025","10.5635","6.6328","10.3335","10.1128","11.1512"
"Europe","Nebraska","Basic chemicals","35.56310083412","35.9100015916","47.4963008071","0.461500015394","0.426100015116","5.060300016618","4.9838","0.589800019274","0.625700024574","4.221500057772","4.026","0.586000019764","0.622100025063","4.23760005818","3.5521"
"Europe","Nebraska","Pharmaceuticals","4.8225","6.657","74.2105","4.6849","6.4424","65.4849","69.013","6.2971","8.6992","99.6668","111.4093","6.5844","9.123","101.6003","121.3806"
"Europe","Nebraska","Fertilizers","0.1095","0.1619","0.3489","0.0633","0.0937","0.2009","0.1943","0.3044","0.448","0.9805","0.9289","0.284","0.4177","0.9143","0.849"
"Europe","Nebraska","Chemical prods.","0.608100169374","0.787499846766","9.29207399906","0.8503024002632","1.074995477261","16.32587280012","23.8591","0.7055999939207","0.926099955289","9.738499487828","9.7007","0.7105999939207","0.933100031479","9.659600416428","9.5666"
"Europe","Nebraska","Plastics/rubber","2.2865","3.1968","11.8628","4.5453","6.294","24.2854","24.7067","8.3963","11.6271","43.1087","44.7418","8.4233","11.6629","43.0479","42.495"
"Europe","Nebraska","Logs","0.0442","0.065","0.0443","0","0","0","0","0.0065","0.0098","0.0049","0.0067","0.007","0.0106","0.0051","0.0065"
"Europe","Nebraska","Wood prods.","0.3334","0.4716","0.3587","0.1043","0.1521","0.218","0.2322","0.0023","0.0032","0.0039","0.0044","0.0023","0.0031","0.0038","0.0041"
"Europe","Nebraska","Newsprint/paper","0.0234","0.0223","0.0397","0.007","0.0063","0.0127","0.0134","0.0138","0.0186","0.0163","0.0171","0.0131","0.0175","0.0159","0.0162"
"Europe","Nebraska","Paper articles","0.0199","0.0297","0.1241","0.0005","0.0009","0.0012","0.0012","0","0","0","0","0","0","0","0"
