commodity,curval_total_exported,curval_total_imported,state,tmiles_total_exported,tmiles_total_imported,tons_total_exported,tons_total_imported,value_total_exported,value_total_imported
Precision instruments,2.7889,0.9454,Kansas,0.0,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,2.7352999999999996,0.9273
Textiles/leather,,14.2488,Kansas,,1.2365,,1.5251,,13.954999999999998
Transport equip.,23.0417,42.4593,Kansas,0.6121,22.4313,0.4478,27.527100000000004,22.2592,40.9833
Wood prods.,,6.492,Kansas,,1.1864,,1.8591,,5.942000000000001
Articles-base metal,89.2517,576.5375,Kentucky,7.6007,15.667100000000001,14.243699999999999,38.209999999999994,89.1563,575.9335
Basic chemicals,5.005599999999999,9.2426,Kentucky,2.1388,9.0777,2.9377000000000004,44.8112,5.4261,10.063
Chemical prods.,0.40140000000000003,0.782,Kentucky,0.19690000000000002,0.00030000000000000003,0.182,0.0009000000000000001,0.40440000000000004,0.788
Crude petroleum,,240.73539999999997,Kentucky,,657.1533999999999,,439.4565,,294.4465
Electronics,,78.7765,Kentucky,,2.5163,,2.4432,,79.1678
Furniture,114.3382,115.2948,Kentucky,3.674,3.9899,24.179299999999998,24.632199999999997,111.89489999999999,112.8309
Machinery,,0.3398,Kentucky,,0.23070000000000002,,0.2782,,0.3317
Misc. mfg. prods.,1.5018,13.619,Kentucky,0.3747,0.763,0.4609,0.5718,1.4765,13.390300000000002
Mixed freight,27.8506,4.7178,Kentucky,5.4424,0.0037999999999999996,13.2833,0.0095,27.1151,4.5934
Motorized vehicles,,0.0581,Kentucky,,0.0069,,0.0104,,0.056799999999999996
Natural sands,,0.7728999999999999,Kentucky,,11.872900000000001,,17.5842,,0.7210000000000001
Nonmetal min. prods.,,62.16,Kentucky,,61.7918,,107.6405,,58.616499999999995
Nonmetallic minerals,,9.7212,Kentucky,,6.293799999999999,,19.1798,,9.1404
Paper articles,,9.4653,Kentucky,,2.5546,,1.0259,,9.2121
Pharmaceuticals,,1.3046,Kentucky,,0.0595,,0.20389999999999997,,1.1612
Precision instruments,,254.54,Kentucky,,0.6181,,1.9169999999999998,,249.56280000000004
