,origin,dest,commodity,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tons_2012,tons_2013,tons_2014,tons_2015,value_2012,value_2013,value_2014,value_2015,curval_2013,curval_2014,curval_2015,value_total,tmiles_total,tons_total,curval_total
2107,,AZ,Printed_prods,325.1864000988199,312.0729999930297,299.84739999089976,290.2150000878995,291.11349999899755,283.2953999978696,271.89089997269923,262.6457999786996,1384.6370999968983,1324.551900073136,1256.2281997727055,1207.161999696308,1328.8475999999966,1262.253999999999,1214.3636999999985,5172.579199539059,1227.321800170653,1108.9455999482682,5190.102399996897
2108,,Africa,Printed_prods,10.076799386278195,11.030401190442497,12.438195825778884,12.730903217350779,22.510496653459004,25.92899749944411,31.186089938640905,31.381101844836905,68.1304179930179,72.31704740873404,75.91591543507216,75.94530178311209,85.36400000000019,89.13030000000049,89.3426000000004,292.3086826199355,46.27629961985042,111.00668593638159,331.9673179930177
2109,,CA,Printed_prods,2362.795016415563,2115.293033183987,2106.7485236546827,2058.985126761315,1360.2576058257785,1218.539602207039,1228.098607990969,1202.893110481424,8701.451920365831,7803.71485350034,7831.107108197244,7614.332441741812,7909.1027000000595,7953.524600000039,7743.616500000032,31950.60632380524,8643.82170001553,5009.78892650524,32307.69572036595
2110,,CO,Printed_prods,417.99490038133746,421.6867999286679,407.65940029004,403.65460031107665,384.10680003191,388.9369000044305,375.6794000088111,372.5411000003021,2124.426799979696,2139.688900052842,2069.0528000091635,2044.5888000735183,2146.6276000000066,2078.909500000005,2056.716000000002,8377.757300115234,1650.9957009111224,1521.264200045456,8406.679899979708
2111,,CT,Printed_prods,129.33506589531547,128.62214835197756,127.99214009744112,122.88738415702815,183.73133397852467,180.15322812758546,183.31780670626054,178.27614678347132,1466.2611633855377,1471.4410673672703,1485.364743192092,1402.512311992128,1599.7277999999983,1624.6869999999983,1547.3236999999976,5825.579285937031,508.8367385017612,725.4785155958401,6237.999663385533
2112,,Canada,Printed_prods,442.77322931164446,446.70985691417104,419.6054618867324,422.04420062479,668.9614990824376,669.3514269707703,622.8425369608572,626.1543957602249,3070.462904855231,3083.0380748706666,2924.702322558778,2939.3994782410487,3806.097100000008,3638.1344000000063,3657.5022000000063,12017.602780525709,1731.1327487373424,2587.309858774304,14172.196604855242
2113,,DC,Printed_prods,42.87520006510036,45.25419995610034,45.969899981200335,45.13190000120028,57.2812001727004,58.32600343090033,59.03419984340026,57.62510347040027,542.1435065209979,570.3650999765983,555.0446017713983,539.1435934593982,595.2533999999982,574.4802999999972,559.0764999999973,2206.6968017283994,179.23120000360055,232.2665069174001,2270.953706521005
2114,,DE,Printed_prods,51.95050000200016,53.166500000000056,54.9031000000001,53.62300000000009,108.3243000000002,110.15260000000002,111.27620000000022,108.47450000000018,743.7061999999994,748.2777999999996,757.0180999999995,737.9491999999999,751.2656999999992,761.0730999999994,742.7975999999991,2986.951299999998,213.64310000200024,438.2276000000002,2998.8425999999977
2115,,Eastern Asia,Printed_prods,57.08850938736987,67.15140365045744,59.6756035119557,59.71600310505825,88.21911721392365,99.91401279088642,94.81130744609604,94.16591271640605,684.9430831300228,806.4395949313773,793.7877837594183,785.5349835614428,957.7167000000003,949.0598999999997,940.2282000000014,3070.7054453822593,243.63151965484022,377.11035016731125,3531.947883130026
2116,,Europe,Printed_prods,91.38021337166637,104.77822482748437,110.6168779087985,110.66508829467979,185.27542589696057,219.0981967262975,209.90658282272736,209.0850258647236,1169.7339661154574,1274.5889811325148,1323.3648576948365,1311.9723554701557,1514.8388999999936,1585.1588999999933,1574.037699999995,5079.660160412971,417.44040440262717,823.3652313107053,5843.769466115465
2117,,FL,Printed_prods,735.2103112371854,685.530311359119,672.1041135721706,656.2362136551193,689.2481079899962,642.0958061552309,632.7004090617062,615.1156096521028,5314.6704319406335,4958.368835349881,4839.87585467994,4678.494157521866,5000.423700000041,4893.735200000045,4737.30460000004,19791.409279492185,2749.080949823614,2579.15993285905,19946.13393194063
2118,,GA,Printed_prods,683.0906492265085,691.605317929859,666.1172415818223,674.4329805010153,799.3727520749751,806.6343974785744,771.2807021668415,784.1374243240094,2856.7481610109317,2884.5926491542455,2728.363862503848,2770.8120046964823,3038.917900000025,2873.052600000022,2920.937200000024,11240.516677365411,2715.246189239226,3161.42527604442,11689.655861010917
2119,,HI,Printed_prods,111.72379999999998,106.78919999999998,109.94009999999992,112.08539999999991,32.810399999999994,31.91269999999997,33.0498,33.712500000000055,246.95990000000003,245.65079999999986,255.8692000000002,263.73710000000005,246.44429999999969,257.08630000000005,265.2988999999998,1012.2170000000001,440.53849999999994,131.48540000000003,1015.7893999999991
2120,,IA,Printed_prods,178.15720000000013,173.73850000000007,168.51320000000007,159.80870000000013,260.33189999999996,250.06340000000006,240.08590000000007,228.82450000000006,1382.1608999999994,1324.352499999997,1259.874599999999,1200.5758999999987,1328.6366999999984,1265.8705999999995,1207.6908999999996,5166.963899999999,680.2176000000003,979.3056999999998,5184.359099999997
2121,,ID,Printed_prods,79.96449999999999,77.7548000000001,74.02169999999997,73.06330000000004,68.94260000000007,67.41860000000015,64.82920000000006,64.14830000000009,498.95799999999986,473.7013999999999,451.06559999999973,443.3192000000002,475.2321999999998,453.2115999999997,445.94430000000006,1867.0441999999998,304.8042999999997,265.33870000000024,1873.3461000000011
