orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Arkansas,Canada,Live animals/fish,1.7702,1.751,4.4474,2.0701,2.0328,5.1295,1.9554,1.9726,4.9145,1.9347,1.9521,4.8642
Arkansas,Canada,Cereal grains,187.2351,188.8995,73.2008,173.7111,184.0465,67.9133,187.3103,192.4654,73.23,186.9065,191.7258,73.0722
Arkansas,Canada,Other ag prods.,8.1538,6.6344,10.7267,7.3162,6.1212,9.5861,4.1838,3.6613,5.3748,4.1132,3.5952,5.2844
Arkansas,Canada,Animal feed,25.9394,39.9565,21.3015005,18.5233,30.0568,15.1402,21.2924,31.8379,17.47130002,21.5038,31.9605,17.64299999
Arkansas,Canada,Meat/seafood,14.2312,15.4185,69.9074,14.0506,15.1933,69.0192,12.9253,14.6076,63.4939,12.7572,14.4888,62.6684
Arkansas,Canada,Milled grain prods.,21.6183,20.8987,34.267,24.6994,23.842,39.1505,23.3463,23.0009,37.0062,22.8167,22.536,36.1666
Arkansas,Canada,Other foodstuffs,7.3295,7.6898,10.4289,8.4897,8.7558,12.0799,9.0027,9.618,12.8097,9.0888,9.7416,12.9321
Arkansas,Canada,Alcoholic beverages,7.7252,10.247,12.7675,6.6644,9.0558,11.0143,4.7723,6.5447,7.8872,5.0983,6.9769,8.4259
Arkansas,Canada,Natural sands,2.891,3.9613,0.0645,2.1985,3.1327,0.0491,2.1796,3.1057,0.0486,2.1272,3.0313,0.0474
Arkansas,Canada,Gravel,12.7125,17.0324,0.141,23.4792,33.385,0.2603,23.1259,32.8825,0.2565,21.1131,30.0205,0.2341
Arkansas,Canada,Nonmetallic minerals,8.0048,11.257,0.6153,7.1208,11.4599,0.5474,3.1935,4.9137,0.2455,2.7812,4.2838,0.2138
Arkansas,Canada,Metallic ores,0.4677,0.4192,0.069,2.1964,2.0151,0.324,0.5303,0.4896,0.0783,0.5606,0.5172,0.0827
Arkansas,Canada,Coal,2.7973,2.1129,0.3195,3.7515,2.8337,0.4285,6.3126,4.7682,0.721,6.2484,4.7197,0.7137
Arkansas,Canada,Gasoline,0.0906,0.1038,0.0788,0.0619,0.0709,0.0539,0.0522,0.0598,0.0454,0.0556,0.0637,0.0484
Arkansas,Canada,Fuel oils,5.8285,6.1463,4.027,4.4367,4.9413,3.0655,4.6511,5.6376,3.2138,5.1743,6.2833,3.5753
Arkansas,Canada,Coal-n.e.c.,26.48849876,34.62608117,4.505860976,26.52740353,34.67707738,4.520778624,21.33637833,27.89134863,3.675842084,21.34166163,27.8981459,3.67652544
