orig,dest,category,ktons_2012,ton_miles_2012,million_dollars_2012,ktons_2013,ton_miles_2013,million_dollars_2013,ktons_2014,ton_miles_2014,million_dollars_2014,ktons_2015,ton_miles_2015,million_dollars_2015
Europe,Colorado,Live animals/fish,-0.0037,-0.0036,-0.168,-0.0028,-0.0039,-0.171,-0.0013,-0.0024,-0.0327,-0.0013,-0.0025,-0.0338
Europe,Colorado,Cereal grains,-0.0386,-0.0412,-0.1126,-0.416,-0.4774,-1.1737,-0.0016,0,-0.017,-0.0016,0,-0.0176
Europe,Colorado,Other ag prods.,-0.9588,-0.9386,-6.6395,-1.2999,-1.4213,-8.9133,-1.1887,-1.6872,-8.8772,-1.2515,-1.7766,-9.3465
Europe,Colorado,Animal feed,-0.130400013,-0.244700017,-1.051200326,-0.023600002,-0.044700016,-0.195700301,-0.114100002,-0.217700016,-1.871100282,-0.116600002,-0.222600016,-1.913700288
Europe,Colorado,Meat/seafood,-0.0588,-0.0461,-0.6456,-0.0908,-0.0758,-0.9935,-0.2157,-0.1173,-2.3175,-0.2317,-0.126,-2.4908
Europe,Colorado,Milled grain prods.,-0.7237,-1.2784,-2.2457,-2.1673,-4.0167,-6.8605,-2.5244,-4.745,-8.1713,-2.6157,-4.917,-8.4675
Europe,Colorado,Other foodstuffs,-4.5705,-6.655,-16.5248,-6.1912,-8.5662,-22.3462,-5.0089,-7.066,-19.2168,-5.261,-7.4213,-20.1834
Europe,Colorado,Alcoholic beverages,-37.1043,-59.9225,-108.0628,-30.4714,-51.8375,-83.3342,-25.7801,-43.3267,-72.6716,-27.2418,-45.7824,-76.7912
Europe,Colorado,Tobacco prods.,-0.0055,-0.0111,-0.0189,-0.0041,-0.008,-0.0138,-0.0002,-0.0005,-0.0008,-0.0002,-0.0006,-0.0008
Europe,Colorado,Building stone,-0.3951,-0.7393,-0.0291,-1.1212,-2.1721,-0.4533,-1.2212,-2.4022,-0.677,-1.3439,-2.6436,-0.745
Europe,Colorado,Gravel,-0.539,-1.0526,-0.0397,-0.4,-0.7802,-0.033,-0.4226,-0.8241,-0.0344,-0.4457,-0.8693,-0.0359
Europe,Colorado,Nonmetallic minerals,-14.2165,-25.9855,-1.3974,-1.8075,-3.1293,-0.2618,-1.5755,-2.9332,-0.1236,-1.6438,-3.0604,-0.129
Europe,Colorado,Metallic ores,-0.1186,-0.1932,-0.0103,0,0,0,0,0,0,0,0,0
Europe,Colorado,Gasoline,-0.0008,-0.0006,-0.0036,0,0,0,0,0,0,0,0,0
Europe,Colorado,Fuel oils,-0.0547,-0.0433,-0.2235,-0.0323,-0.0153,-0.1279,-0.024,-0.0065,-0.0924,-0.0229,-0.005,-0.0877
Europe,Colorado,Coal-n.e.c.,-0.504994076,-0.607746928,-0.076744314,-0.000147796,-7.50E-06,-5.12E-05,-0.000349966,-1.78E-05,-0.000121162,-0.000360042,-1.83E-05,-0.000125578
Europe,Colorado,Basic chemicals,-35.1287,-43.8989,-106.7959,-25.3927,-30.5842,-96.4805,-4.5179,-5.1234,-78.4509,-4.7107,-5.3426,-81.8062
Europe,Colorado,Pharmaceuticals,-11.367901,-19.54720201,-372.9651063,-11.85390129,-21.24670258,-309.1867082,-13.4222015,-24.58010301,-370.1808095,-14.48130162,-26.51990325,-399.3950103
Europe,Colorado,Fertilizers,-1.1584,-1.8838,-0.9718,-1.6871,-2.3845,-1.0233,-0.4329,-0.4897,-11.3646,-0.4411,-0.4993,-11.5819
Europe,Colorado,Chemical prods.,-8.511601986,-11.530504,-43.85210524,-10.17010238,-13.51820471,-52.98290576,-11.27980274,-15.39530562,-68.61150781,-11.9430029,-16.29990595,-72.64380827
Europe,Colorado,Plastics/rubber,-8.140700545,-11.99640108,-84.41840337,-7.985700608,-12.08060121,-85.09970375,-10.01680052,-14.47610104,-115.0192032,-10.62290055,-15.3519011,-121.9770034
Europe,Colorado,Logs,0,0,-0.0002,-0.0003,0,-0.029,0,0,-0.0009,0,0,-0.001
Europe,Colorado,Wood prods.,-1.1516,-1.8245,-2.462,-1.7625,-2.8226,-4.1951,-2.3415,-3.7439,-4.8163,-2.3966,-3.8318,-4.9299
Europe,Colorado,Newsprint/paper,-8.2672,-13.8173,-29.6069,-4.413,-7.2308,-15.7479,-4.6472,-7.1857,-17.159,-4.7786,-7.3886,-17.6436
Europe,Colorado,Paper articles,-0.111700022,-0.198899878,-1.028400358,-0.1714,-0.325999997,-1.322100028,-0.180000004,-0.3451,-1.430400001,-0.186700004,-0.3585,-1.485200008
Europe,Colorado,Printed prods.,-0.4014,-0.638600001,-3.274000024,-0.108199997,-0.1698,-1.512199971,-0.088599999,-0.132099996,-1.374699985,-0.093299997,-0.138899992,-1.444599982
Europe,Colorado,Textiles/leather,-4.731400421,-8.328400347,-45.67070721,-4.836600624,-8.368200431,-47.65930547,-5.710800861,-10.22760039,-55.21080056,-6.155999844,-11.02520053,-59.52030216
