,fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2012,tons_2013,tons_2014,tons_2015,tons_2020,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,value_2012,value_2013,value_2014,value_2015,value_2020,value_2025,value_2030,value_2035,value_2040,value_2045,tmiles_2012,tmiles_2013,tmiles_2014,tmiles_2015,tmiles_2020,tmiles_2025,tmiles_2030,tmiles_2035,tmiles_2040,tmiles_2045,curval_2013,curval_2014,curval_2015
1543725,807.0,451,91,,3.0,1,,40,2,0.003,0.0042,0.0047,0.005,0.0065,0.008,0.0099,0.0123,0.0155,0.0186,0.0648,0.0899,0.1014,0.1087,0.1398,0.1734,0.2138,0.2653,0.3354,0.4023,0.0026,0.0037,0.0041,0.0044,0.0057,0.0071,0.0087,0.0108,0.0137,0.0164,0.0909,0.10300000000000001,0.1113
916621,,271,271,,,5,,33,1,4.0,4.0711,4.2688,4.3656,4.7113,5.0961,5.4713,5.8381,6.3032,6.7736,328.035,333.8679,350.08099999999996,358.0147,386.3685,417.923,448.6936,478.7727,516.9162,555.4945,0.133,0.1354,0.142,0.1452,0.1567,0.1695,0.182,0.1942,0.2097,0.2253,333.4238,351.5253,358.1067
348433,,62,122,803.0,,5,3.0,21,3,0.0031,0.0009,0.0017,0.0016,0.0021,0.0028,0.0036,0.0047,0.0067,0.0079,0.0309,0.009000000000000001,0.017,0.0164,0.0213,0.0283,0.0362,0.0468,0.0664,0.0789,0.0102,0.003,0.0056,0.0054,0.006999999999999999,0.0093,0.0119,0.0155,0.0219,0.026000000000000002,0.0095,0.019,0.0196
488608,805.0,124,129,,4.0,1,,24,2,9.962700000000001e-05,0.00019925,0.0,0.0,9.962700000000001e-05,9.962700000000001e-05,9.962700000000001e-05,9.962700000000001e-05,9.962700000000001e-05,0.00019925,0.0014944000000000001,0.0032876999999999997,0.00059776,0.00069739,0.00079702,0.00099627,0.0012952,0.0014944000000000001,0.0018929000000000003,0.0022914000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0007,0.0007
984670,,422,171,806.0,,4,4.0,33,3,0.0266,0.0205,0.0127,0.0123,0.0138,0.0155,0.0172,0.0193,0.0232,0.0276,0.5613,0.433,0.2682,0.2593,0.2907,0.3279,0.3623,0.4075,0.49,0.5829,0.0129,0.01,0.0062,0.006,0.0067,0.0075,0.0083,0.0094,0.0113,0.0134,0.4324,0.2693,0.2594
262333,,423,369,801.0,,7,7.0,19,3,5.5515,5.5596,4.4716,4.4728,4.9954,5.6386,6.0942,6.5977,7.4693,8.4937,0.94435,0.9474600000000001,0.7703800000000001,0.77053,0.86055,0.97135,1.0499,1.1366,1.2869,1.4634,1.031,1.0325,0.83042,0.8306399999999999,0.92769,1.0471,1.1318,1.2253,1.3871,1.5774,0.9862200000000001,0.8525299999999999,0.6478
876989,806.0,121,369,,3.0,5,,32,2,0.0303,0.0107,0.0195,0.0201,0.0219,0.0238,0.0261,0.0288,0.0318,0.0346,0.0394,0.013999999999999999,0.0253,0.0261,0.0285,0.0309,0.0339,0.0375,0.0413,0.0449,0.0357,0.0126,0.0229,0.0236,0.0258,0.0279,0.0307,0.0339,0.0374,0.0407,0.0132,0.0242,0.0226
1312137,808.0,61,341,,3.0,2,,37,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001
1268487,,189,512,806.0,,4,4.0,36,3,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560497,,292,61,806.0,,1,3.0,40,3,0.0035,0.0186,0.009000000000000001,0.0088,0.0116,0.0159,0.0213,0.0293,0.0441,0.0525,0.0515,0.2739,0.1318,0.1295,0.1711,0.2342,0.3131,0.4316,0.6492,0.7726,0.0063,0.0336,0.0162,0.0159,0.021,0.0287,0.0384,0.053,0.0797,0.0948,0.2767,0.134,0.1325
